"teks","label"
"cewe cakep, setia kok disia sia in sahabat","no"
"Bikin skandal karena kepengen tenar?","no"
"HEH UDH NAPA HATE NYA CAPE GW BACA NYA","no"
"Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono","no"
"HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!","no"
"Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica","no"
"Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa","no"
"Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak","no"
"Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2","no"
"guys dr pd comment2 mending unfoll sm unsubscribe aja yaa","no"
"Postingan pertama jg dihujat dong gila netijen","no"
"Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(","no"
"Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2","no"
"kesini cmn mo liat komen aja","no"
"Buset hate comment ampe postingan paling bawah","no"
"Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu","no"
"astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener","no"
"Dah lah. Gw capek baca komen kalian","no"
"Astaga ngehujat sampe postingan paling bawah","no"
"Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol","no"
"Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu","no"
"Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian","no"
"Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah","no"
"Gua kira keluar dari PENJARA bisa berubah","no"
"Cintamu hanya sebatas kertas wkwkw enteng bang","no"
"Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(","no"
"Dihujat habis""an semua postingan lama ada komen baru wkwk","no"
"Lu mirip anaknya kick andy yg namanya marlo bang","no"
"Kenapa ada orang baik ? Karna ada orang jahat","no"
"Ngga ada niatan ngadain pengajian gitu bang?","no"
"Suka banget sama rambutnyaa tambah ganteng","no"
"Banyak yg kecewa karena lu begini rik!!!!","no"
"Foto jelek dihujat, foto ganteng dibilang sok ganteng","no"
"Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg","no"
"G bole melet dosaa rik","no"
"Sumpah sih jahat banget. Bener2 kasian sama kak jessica","no"
"Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga","no"
"Awalnya ngira baju endorse dari KFC, mirip '-'","no"
"GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim","no"
"Mending lu pada tobat dah","no"
"Kayak Randy Pangalila klo gk pake kacamata","no"
"Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu","no"
"Saya segenap hati minta maap","no"
"Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG","no"
"editan sama konsepnya nice banget lahhh","no"
"kok kalian komennya pada kek gini ya","no"
"Kalian kaloga cocok mau di paksain?","no"
"ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir","no"
"Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami","no"
"siapapun tolong kasih tau aku ini masalah nya apaa gais","no"
"Padahal cantikan jessica kemana mana","no"
"hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam","no"
"Disini pada kenapa dah? Aku gapaham tolong","no"
"Emang kalian se suci apa sampai nghina dia segitu nya","no"
"Mending yang follow pada unfollow Udeh gausah ribet","no"
"@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong","no"
"Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras","no"
"Semangat Rick untuk usaha barunya","no"
"banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya","no"
"Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka","no"
"Tuhan yesus baik semangat rick","no"
"Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)","no"
"Wah ngehina fisik ni orang,ga bener ya wkwkwkwk","no"
"Sabar semua komentar ini ujian","no"
"Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!","no"
"Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank","no"
"Trs berkarya walaupun brd di titik sprti ini","no"
"Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada","no"
"Yang ngatain keknya idupnya gapernag bikin kesalahan","no"
"erick yang kek gini yang gua kangenin, keep it up bruuh","no"
"Banyak komen yg support malah ketutup yg hate bgst emang IG","no"
"Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm","no"
"Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.","no"
"Aura org pinter emg shining ya bun @hy_dindut","no"
"Paket lengkap deh.. udh cantik pintar lagi","no"
"Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett","no"
"Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy","no"
"Uda pinter, cantik gak kebanyakan tingkah. Perfect","no"
"Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada","no"
"Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda","no"
"Motivasi ku ka Maudy cantipp bngt","no"
"Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin","no"
"Damage nya cewek pinter gada lawann","no"
"masih good vibes walaupun sedang lapar","no"
"kakak cantik bgt bismillah cerdasnya nular","no"
"Dua2 nya cantik banget masya Allah","no"
"ka nisa mirip ariana grande masa","no"
"Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha","no"
"Sekilas yg abu mirip ariana grande haha","no"
"Yang satu nya mirip Ariana grande","no"
"Kakak sama adek sama sama cantik ya aku suka sama dua duanya","no"
"Rambutnya kak modd bagussss… Item berkilauu","no"
"Cantik semua congrats kak msuk nominsi tc candler","no"
"Maudy enak bet dah cantik iya pinter iya","no"
"kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""","no"
"Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa","no"
"Sutan kamu sangat lucu dan menggemaskan","no"
"Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom","no"
"Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya","no"
"Kak jerome kayak boneka tau hahah","no"
"Mukbang makanan sehat dong kak. Salad jepang gituuu.","no"
"Yakinin dulu niatnya bg… Semoga sukses","no"
"Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang","no"
"Cuman rumus diet ini yg ga bisa dipecahka ya bang?","no"
"Perut makin maju tpi semangat jangan tak maju","no"
"Pantesan kak Jessica bilang bang jerom beruang wkwkwk","no"
"Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika","no"
"Kaya tulus ya mukanya klo diliat2","no"
"Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)","no"
"Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha","no"
"Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap","no"
"Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk","no"
"iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul","no"
"Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur","no"
"Kok makin dewasa makin imutt aih cipaaaaaa","no"
"maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa","no"
"Nih orang manis bnget sihh ga ngerti lagi","no"
"Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak","no"
"Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr","no"
"Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.","no"
"Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu","no"
"Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab","no"
"Gemeshh rasanya kaya aku pengen cubit","no"
"@angelkmgi ini paling cute sih, ganteng parah msh kecil jg","no"
"Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu","no"
"Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula","no"
"Dilihat sekilas pun tampak jelas kalau cantikkan syifa","no"
"Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn","no"
"dahlahh emang cantik luar dalam kmu ini cippp","no"
"Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.","no"
"Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga","no"
"Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati","no"
"Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..","no"
"Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa","no"
"kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha","no"
"Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..","no"
"Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory","no"
"smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..","no"
"Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya","no"
"Koreaable banget face rafathar cakep ganteng manis banget","no"
"MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…","no"
"Kok mirip siwon ya lama2, apa perasaan gw aja.","no"
"Lucunya berasa kayak kaka dan adek","no"
"Itu wajah nagita kya masih umur 20an","no"
"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu","no"
"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.","no"
"Nagita masa kaya anak muda coba cantikk bangeett","no"
"Masyaallah mamany cantik anakny ganteng, perfect","no"
"Kaya adek kakak.. kak gigi keliatan muda banget","no"
"Tambah gede aja rafathar ya tambah pinter ya Rafathar","no"
"Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda","no"
"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah","no"
"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga","no"
"mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.","no"
"Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep","no"
"i see beauty in everything mba gigi sehat selalu sama dede bayi nya","no"
"Mama gigi cantik banget… look younger than her age.. love mama gigi","no"
"Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas","no"
"Pakaian apapun yg dipake mama gigi selalu keceee","no"
"Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga","no"
"Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..","no"
"Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..","no"
"Mama gigi gapernah ga cantik sih kalo menurut aku.","no"
"Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.","no"
"Cantik banget semoga sehat selalu kakak panutan","no"
"MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa","no"
"Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya","no"
"makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya","no"
"Gapaham lagi cakeup nya natural Masyaallah","no"
"Raisa mah tipe cantik tapi sopan santun pakaiannya","no"
"ka yayaaa, why are you always stunning pretty girl.","no"
"Ya Allah ni orang apa peri, cantik amatt","no"
"Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik","no"
"BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH","no"
"Cantik bajunya keren warnanya bikin pangling","no"
"Sudah dongggg dan sudah di liked juga.. congratulations","no"
"Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk","no"
"Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….","no"
"udah dong. Lagi ngunyah aja cute banget","no"
"Penyihir secantik ini gue rela dikutuk jadi tokek laut","no"
"Ya ampun kak makan apa sih kok bisa cantik banget","no"
"Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha","no"
"Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu","no"
"ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in","no"
"Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran","no"
"Bukan keliatan ragu, tapi keliatan cantik","no"
"Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald","no"
"Raisa pake baju merah sumpahh cantik bgttt","no"
"Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget","no"
"Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya","no"
"Ka yaya kalo ragu tetep secantik itu yah :"")","no"
"Ragu aja cantik kan kak, apalagi kalau serius","no"
"Ngga alay. Ngga muluk muluk. Natural. Sukaaaa","no"
"seru bgt gemoy, tim berkebun plus tim alam bgt niiii","no"
"nikmatnya bisa menghirup oksigen dengan bebas ya :)","no"
"Slide kedua mukanya mau gaya apa aja tetep cantikk","no"
"mba isyana foto gelap2an gini aja aesthetic bgt ya","no"
"mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa","no"
"Ga Taulah aku juga suka banget sama gayanya isyan","no"
"Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu","no"
"Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…","no"
"Congrats kak, kamu memang pantes mendapatkannya","no"
"Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana","no"
"Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif","no"
"Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan","no"
"Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren","no"
"yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt","no"
"Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku","no"
"makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa","no"
"Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!","no"
"hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka","no"
"senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…","no"
"Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna","no"
"congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin","no"
"Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan","no"
"CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss","no"
"Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya","no"
"definisi minat ketemu bakat ketemu kerja keras","no"
"@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini","no"
"MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah","no"
"Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis","no"
"Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett","no"
"Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata","no"
"aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan","no"
"AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget","no"
"paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri","no"
"Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini","no"
"Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah","no"
"yang aku suka dari dia adalah selalu cukur jembut sebelum manggung","yes"
"@ayu.kinantii isyan skrg berubah ya:( baju nya nakal","yes"
"Makin jelek aja anaknya, padahal ibu ayahnya cakep2","yes"
"Kok anaknya kayak udah tua gitu ya mukanya kk tasya","yes"
"Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya","yes"
"Muka nya muka kolot wkwk bukan muka bayi2 lucu gt","yes"
"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu","yes"
"Lo sintingnya udah tingkat dewa","yes"
"Sepertinya Lutfi setelah putus dgn salsa seperti orang stress","yes"
"ANAK TOLOL INI MULAI AKTIF YA BUND","yes"
"bisa mati aja ga? gedeg gua liat lu. ANJIM","yes"
"Woy Lutfi asu , sok asik Lo ANJING !","yes"
"Apasih kontol berantem aja lah ayo bngst @lutfiagizal","yes"
"Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya","yes"
"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..","yes"
"Ancur hidup lu kalau sama dia… Sumpah..","yes"
"serem banget muka lo mel kayak ayam potong merah banget","yes"
"Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!","yes"
"Apaan sih gak jelas hidupnya","yes"
"Sebelum aku Unfoll, aku mau bilang NAJISSSS","yes"
"muka lu sensual tapi norak kenapa dah","yes"
"Cakep kaga jelek iya HAHAH","yes"
"jari jari kaki kayak jarinya tukang panggul","yes"
"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia","yes"
"Ini diedit biar langsing padahal mah klo live bomber badannya","yes"
"Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong","yes"
"@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???","yes"
"Bra nya kedodoran kak make ukuran gede yaa","yes"
"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan","yes"
"Kaku kek kanebo kering hahaha","yes"
"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek","yes"
"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh","yes"
"Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip","yes"
"Iya lo kamu mirip monyet mel","yes"
"Bagusan pantat panci aing atuh anjir","yes"
"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,","yes"
"Lengannya gempal banget sih HAHA","yes"
